story,highlights
boston bombing suspect dzhokar tsarnaev tweeted since boston marathon bombings two friends tell cnn twitter account tweets included one 143 wednesday said stress free kind guy monday 804 pm hours bombings tweeted quote rapper jay z 1970s rb song love heart city tweet added stay safe people shortly midnight tuesday morning tweeted people know truth stay silent people speak truth hear cuz minority tsarnaev uses handle j_tsar describe profile reads salam aleikum greeting among muslims profile photo face lion mouth open baring fangs tweeted dozen times since bombing recent tweet one retweeted wednesday mufti ismail menk identifies muslim scholar attitude take away beauty matter good looking could enhance beauty making adorable tweet reads another tweet tsarnaev tuesday quote rapper eminem nowadays everybody wanna talk like got somethin say nothin comes move lips bunch gibberish another twitter account posted photo tuesday saying showed man going propose girlfriend marathon boston found dead tsarnaev tweeted two word response fake story another suspects tweets apparent response someone elses tweet reads god hates dead people victims tragedies lol people cooked also tuesday tsarnaev tweeted says says relax bro beard loaded friday another twitter user retweeted message added words backpack items wrote well boston bombings social media site may offer details pertinent investigation august 10 2012 instance tsarnaev wrote response another user boston marathon good place smoke tho context conservation however known,new a cryptic tweet last august refers to the boston marathon 2 friends of suspect dzhokar tsarnaev tell cnn this is his twitter account hours after the bombing he tweeted stay safe he tweeted that a photo of an alleged boston bombing victim was fake
23 year old exchange student attacked toronto apartment friend china watched via computer webcam found dead hours later police say toronto police monday identified student qian necole liu beijing talking early friday morning male friend home man allegedly knocked door asking use phone police said news release online witness said saw liu unknown man struggle time attacker turned laptop news release said friend china started desperate bid find happened cnn affiliate ctv reported ten hours later police arrived basement apartment find lius body naked waist laptop missing obvious dead period time detective sgt frank skubic said news release cause death yet determined news release said obvious signs sexual assault severe physical trauma police awaiting toxicology reports said police unsure whether liu exchange student york university knew man attacker described white age 20 30 6 feet tall weighing 175 200 pounds muscular build medium length brown hair wearing blue crew neck shirt suspects one custody police questioning neighbors ctv reported cell phone found apartment also undergoing forensic examination police said york university president mamdouh shoukri released statement saying qians death terrible tragedy entire community mourns loss promising young student lius family currently way canada china ctv reported call police seeking comment immediately returned first time crime captured webcam notorious incident meleanie hain lebanon pennsylvania shot dead 2009 talking friend via webcam friend looking away heard shot scream police said upon looking back screen friend saw hains husband firing handgun wife said police later found hain husband dead home,a friend in china sees the woman attacked in her toronto apartment they had been chatting via webcam police say the 23 year old woman is later found dead in the apartment
robin lim american woman helped thousands poor indonesian women healthy pregnancy birth named 2011 cnn hero year sunday night bumi sehat health clinics mother robin ibu robin called locals offers free prenatal care birthing services medical aid indonesia many families cannot afford care every babys first breath earth could one peace love every mother healthy strong every birth could safe loving world yet lim said cnn heroes star tribute took place shrine auditorium los angeles recognized lim top 10 cnn heroes 2011 many women developing world access contraception maternal care according united nations population fund three five women giving birth south asia without skilled birth attendant hand indonesia average family earns equivalent 8 day according international monetary fund baby delivery costs 70 hospital caesarian section cost much 700 lim believes indonesias high maternal infant mortality rates caused part costs many women cannot meet situation bad babies unattended deliveries become commercialized mothers die hemorrhage childbirth cannot afford proper care lim told cnn earlier year cnn hero year chosen public 11 week vote cnncom named hero year lim receive 250000 cause addition 50000 rest top 10 heroes received making top 10 fifth year cnn help entertainers celebrities honored everyday people changing world among years presenters comedians jerry seinfeld george lopez actors jr martinez chris colfer musical artists ice cube william model christy turlington burns former nfl quarterback kurt warner actresses laura dern mary louise parker sofia vergara photos scenes night kid rock performed song care platinum selling album born free miley cyrus sang triple platinum hit climb turlington burns introduced lims video tribute sundays show hero year announcement founder every mother counts also passionate advocate maternal health around world eight years ago giving birth first child grace felt could life threatening complication told audience nearly 5000 suddenly got scary fast received expert care hospital birthing center may fortunate wish every mother world chance surviving childbirth friend robin lim shares wish spends days nights making photos see lim helps thousands women turlington burns recently made trip indonesia meet lim see work firsthand lim became midwife sister sisters baby died complications pregnancy several years ago husband sold home hawaii moved bali reinvent lives said learned could make difference turlington burns said opened clinic bumi sehat poor mothers give birth safely treated dignity respect delivered thousands babies call ibu mother announced cnn hero year tearful lim accepted award host anderson cooper made impassioned plea help,robin lim was named the 2011 cnn hero of the year on sunday night she has helped thousands of poor indonesian women have a healthy pregnancy and birth the annual show honors the top 10 cnn heroes and names one of them hero of the year
nations best military fliers wings clipped thanks forced spending cuts imposed federal government year us navy tuesday announced canceling air shows blue angels flight demonstration squadron scheduled rest year navy action follows air forces april 1 announcement thunderbirds team would perform year recognizing budget realities current defense policy states outreach events supported local assets cost government said statement tuesday office commander naval air forces san diego one many steps navy taking ensure resources place support forces operating forward training relieve navy air force rest federal government must deal 85 billion cuts rest fiscal year 2013 ends september 30 mandated 2011 agreement congress raised federal debt ceiling obama propose changes medicare social security cuts targeted agencies programs dear democrats education also went republican priorities including military air force said earlier year air shows cost bases 100000 two dozen thunderbirds performances scheduled rest year cut including asian tour air force fighter jets casualty budget cuts blue angels 32 performances left year however several including one originally scheduled coming weekend naval air station corpus christi texas canceled expectation budget cuts would force navys hand navy team also canceled performance set macdill air force base tampa florida last weekend next performance still schedule would us naval academy annapolis maryland may 22 part graduation festivities academy navy said blue angels continue train base pensacola florida budget crunch ends navy believes value demonstrating professionalism capabilities navy marine corps naval aviation team thus inspiring future generations sailors marines navy intends continue aerial demonstrations future budget situation permits services statement said faa delays closures 149 control towers,navys blue angels had 32 shows left in 2013 air forces thunderbirds lose more than two dozen shows federal forced spending cuts lead to cancellations air shows can cost bases 100000 air force says
decade following september 11 2001 attacks four cia officers directly collaborated new york police department expand nypds counterterrorism capabilities according newly disclosed report cia inspector generals report completed late 2011 declassified response freedom information act lawsuit new york times raises concerns relationship organizations investigation found irregular personnel practices inadequate direction control cia managers responsible relationship consequence risk agency cia considerable multifaceted said memo inspector general david buckley david petraeus cia director time negative public perception expected revelation agencys close direct collaboration local domestic police department perception agency exceeded authorities diminishes trust place organization cia agents prohibited taking part domestic spying reports release comes immediate aftermath leaks national security agency contractor edward snowden investigation launched associated press story alleged inappropriate cia involvement activities new york police department inspector generals report said ap reported nypd intelligence division dispatched cia trained undercover officers minority neighborhoods gather intelligence daily life mosques cafes bars bookstores said new york police used informers monitor sermons religious services police officials keep tabs clerics gather intelligence taxi cab drivers food cart vendors often muslim new york police department blasted report fictional time year ago new jersey muslims filed lawsuit new york city accusing police using unconstitutional tactics spy years september 11 nypd later said surveillance never produced lead linked potential terrorist plot inspector generals report found reason order full investigation relationship note risks fully considered nypd deputy commissioner paul browne hailed cooperation agencies proud relationship cia training expertise part responsible fact 11 years since 9 11 anthrax attacks soon thereafter mark first decade last six single casualty terrorist attack new york city said statement terrorists stopped trying,reports alleged inappropriate cia involvement with the new york police department four cia officers directly collaborated with the police muslims accused nypd of unconstitutional spying tactics the nypd said the surveillance never produced a terrorist lead
first major augusta played several rounds president united states racked record 50 consecutive masters appearances leaps arnold palmers mind reflects georgia course points instead way masters one golfs four major tournaments take place course every year spread gospel golf across palmers home nation think masters something brought golf american people way course golf course could 84 year old told cnn rally around augusta people southeastern states come california washington wisconsin everywhere brings certain mystique surface lloyd mangrum said know arnie golf tournaments life would give one masters unlike late mangrum us open 1946 twice finished runner augusta lowest round 64 tournament record 46 years palmer problems 1958 three years turning pro took possession green jacket first four masters triumphs seven majors total forty six years later palmer 74 received unforgettable standing ovation approached 18th green final competitive time half century contesting course latest scores masters leaderboard like tiger woods misses first masters week back surgery tournament palmer competed made special well course golf course club great place everything opined one sports time greats location geography club way course rolled condition always impeccable condition greens always good fairways entire golf course something pleasure thoroughly enjoyed scene victories 1958 1960 1962 1964 augusta also palmer played plenty golf dwight eisenhower us president 1953 1961 first round came hours palmer first masters 1958 course augusta chairman cliff roberts close friend ikes came said president said would like play next day time would join palmer recalls first many rounds duo would enjoy together palmer later describing golf obsessed eisenhower like second father mention eisenhower augusta course made without recalling loblolly pine became one famous trees golf history standing little 200 yards tee left fairway tree one sitting us president augusta member wanted removed tendency hit often governors meeting 1956 worlds powerful man proposed tree cut friend roberts acting capacity chairman rule order adjourn meeting pine swiftly nicknamed eisenhower tree stood proud unbowed suffering unsustainable damage major ice storm february augusta officials described trees loss difficult news accept begun deliberations best replace palmer believes eisenhower died 1969 aged 78 would different viewpoint sure make unhappy gone laughs think sort love hate relationship think got kick complaining tree gave lot trouble hand part augusta important part palmer actually hit famous tree en route winning one masters titles may trouble future one grandchildren sam saunders 26 turned pro three years ago fighting return best form losing pga,the masters has been biggest boost to golf in united states says arnold palmer six decades on from first playing at augusta 84 year old is still in thrall to its mystique palmer is considered one of golfs all time greats alongside jack nicklaus and gary player he won the masters four times level with tiger woods and two behind nicklaus all time record
michelle wie clung share lead us womens open saturday former teenage prodigy bids first major title series near misses wie shot two 72 testing pinehurst no2 course used mens us open martin kaymer last week left two 208 joined south koreas amy yang posted third round two 68 six birdies hitting ball really solid today good speed greens yang said great round today wie 24 twice led national open going final round 2005 2006 finished tied 23rd tied third respectively fine form 2014 wie finished second opening major season kraft nabisco championship lpga lotte championship april led two opening rounds 68 admitted grind third round asked prospects victory sunday wie remained non committal grateful another opportunity told sky sports going play well hope best wie might held one shot lead missed 10 foot birdie putt final green sort chances holed first two days tournament dominated start astonishing feat 11 year old lucy li qualifying championship 53 year old juli inkster struck blow diminishing band veteran players lpga tour american inkster carded best day 66 join group tied third two also included australian amateur minjee lee south korean choi na yeon northern irelands stephanie meadow inkster playing 35th us open seven majors set retire end season,michelle wie tied for lead at us womens open cards two over 72 in third round at pinehurst amy yang draws level at two under after a 68 veteran juli inkster charges into contention with a 66
number americans living states covered sex marriage laws doubled new york gov andrew cuomo signed bill law gave gay lesbian couples right marry cuomo signed measure passed republican controlled senate friday night raising questions whether move reflects new momentum gay rights movement cuomo said law grant sex couples equal rights marry well hundreds rights benefits protections currently limited married couples opposite sex right inheritance employer health benefits host state tax benefits include social security benefits spouse federal benefit controversial law passed narrow 33 29 vote first gop led state senate making new york sixth state union legalize sex marriage decision also drew sharp rebuke opponents spent millions try defeat measure worry marriage family undermined tragic presumption government passing legislation attempts redefine cornerstones civilization states catholic bishops said joint statement released late friday signed archbishop timothy dolan seven bishops opponents marriage equality law vowed take political action republican voted bill new york gave birth gay rights movement 1960s become sixth state allow sex marriages currently massachusetts connecticut iowa vermont new hampshire district columbia grant sex marriage licenses new york states population 19378102 according 2010 us census population five states plus washington equals 15671450 massachusetts 6547629 residents connecticut 3574097 iowa 3007856 new hampshire 1316470 vermont 625741 washington 599657 senate vote came days delays included last minute negotiations passing slim margin support four republicans cuomo credited four republican senators joined majority states senate democrats passage bill take effect 30 days saying people courage think politically dangerous republican cuomo told reporters late friday conservative party threatening consequences anyway vote measure assembly passed june 15 stalled senate turned corner late friday according senate majority leader dean skelos lawmakers agreed amendment protect religious groups litigation pushed republicans assembly passed new version bill included amendment religious institutions new york mayor michael bloomberg courted republicans approve bill called vote historic triumph equality freedom recent weeks many conversations state senators emphasized marriage equality consistent bedrock american principles also consistent bedrock republican party principles liberty freedom republicans stood today principles long remembered courage foresight wisdom fact 10 20 30 years believe look back vote one finest proudest moments bloomberg said statement released shortly vote,new the number of people living in states covered by same sex marriage doubles catholic bishops in new york rebuke same sex marriage law same sex couples can get married in new york within 30 days law provides hundreds of other state benefits formerly out of reach
egypt agreed allow two iranian warships cross suez canal move puts countrys new military regime prickly position israeli neighbor post hosni mubarak caretaker government gave green light iranian warships friday state media reported expected first iranian warships sail suez since islamic republics 1979 revolution canal internal body water egypt sovereignty egypt also bound 1978 camp david accords guarantee right free passage ships belonging israel nations basis constantinople convention 1888 egypt allow israeli ships sail canal last week egypts newly empowered military government said would honor international treaties would include camp david awkward minimum said david schenker director program arab politics washington institute near east policy schenker said iranians asked frigate alvand military supply ship kharg cross mediterranean armed missiles said adding passage would create uncertainty region destabilizing raises tension particularly time transition egypt schenker said typical syrian iranian opportunism egypts decision analysts said could show direction military caretakers intend take arab worlds populous nation raise unwelcome political issue resolved said cmdr james kraska us naval war college rhode island iran said earlier flotilla yearlong intelligence gathering training mission prepare cadets defend irans cargo ships oil tankers threat attack somali pirates according semi official fars news agency asked irans assertion ships going syria training state department spokesman pj crowley said friday initial response would highly skeptical asked whether concerned ships travel plans said really ships ships carrying destination cargo board going benefit know ongoing concerns concerns shared white house press secretary jay carney told reporters aboard air force one monitoring obviously also would say iran great track record responsible behavior region always concern us israeli foreign minister avigdor lieberman said israels allies pay close attention situation expect international community act speedily determination iranian provocations designed deteriorate situation area put iranians place said israeli defense ministry said monitoring movement iranian ships alerted allies suez canal key waterway international trade connects mediterranean sea red sea allowing ships navigate europe asia without go around africa millions barrels oil move suez every day en route europe north america,egypt agreed to allow two iranian warships to cross through the suez canal they are expected to be the first such ships to sail through the canal since 1979 both ships are armed with missiles analyst says the canal is an internal body of water over which egypt has sovereignty
clark dever joe dinardo always taken things extreme joe dinardo left clark dever spending 12 hours city going next stop jetblue announced monthlong jet pass 599 airline practically issued challenge decided come extreme length could take fun without crazy dinardo told cnn always pushed outrageous taking another level dever dinardo friends since freshman year college suny buffalo crisscrossing country spending 12 hours city heading back airport jetting next destination deal allows passengers unlimited travel cities jetblue services september 8 october 8 599 dever recently saving money professional photographer quit job dinardo decided use accumulated vacation time job take trip plan make deal hitting least 29 cities 31 days taking 49 one way flights sleep flights take showers gyms friends work runners swap bags clothes fly new yorks jfk airport every three days even worked companies obtain sponsorships plan interview fellow fliers get skinny best places go hopes taking locals tour city opposed generic tourist trip web site twelvehoursinacitycom better way get snapshot united states dever said really capture unique culture city meet different people price unbeatable way see flight cost 200 taking 10000 trip 600 exactly promotion received great deal buzz specifically among social networking platforms jetblue suspended deal two days early saying sold though company declined specify many people bought jennifer milano taking time freelance work take advantage grabbed pass right away decided buzz twitter could start organizing group fellow jet travelers calling 599club created site people sharing itineraries attempt either travel together meet twitter followers cities try couch surf peoples homes may even meet california go skydiving together cara dearman planning move new york austin texas heard deal decided pack home bring movers head vacation big move given jetblues hub structure many travelers found slight hiccup midwest might travel way back new york travel west coast couple spending large chunk trip south america caribbean video interviews entrepreneurs around world dearmans web site thestrategyblogcom greg krause pass chance raise money charity close heart ­ elementary school zambia parents created orphaned children small village two hours main road krause plans go 24 cities using 45 different flights enjoyable vacation hopefully meet people donate school also documenting trip web site 30daysonjetbluecom though dever dinardo may exhausting schedule like many others think nothing else trip true adventure matter happens certainly story comes trip dever said us biggest concern finding place shower certainly want stinky guys plane especially many flights either way going,deal allows passengers unlimited travel for a month on jetblue for 599 clark dever joe dinardo going to cities for 12 hours then getting on next flight some travelers taking around 40 one way flights to make most of deal dever it is going to be an adventure a tiring but exciting adventure
