story,highlights
"['a florida man is accused of strangling a family puppy chopping it into pieces and cooking its ribs on the stove tampa police said', 'thomas elliot huggins was arrested thursday after a family member called police', 'when officers arrived they found the dogs ribs cooked in a pot on the stove tampa police said the dogs head was in the garbage', 'huggins had strangled the to puppy and chopped it into quar']","['police say thomas elliot huggins strangled and cut up a puppy', 'when police arrived they found the do']"
"['a massachusetts woman found guilty in the firstdegree murder of her pregnant friend has been sentenced to life without the possibility of parole according to worcester superior court', 'julie corey who was at the time of the crime was convicted in she was found to have bludgeoned and strangled her friend darlene haynes before cutting the baby from the victims womb', 'haynes body was found in her apar']","['julie corey was convicted in of murdering her pregnant friend darlene haynes', 'haynes baby was found ']"
"['a common benchmark in the united states for determining when a driver is legally drunk is not doing enough to prevent alcoholrelated crashes that kill about people each year and should be made more restrictive transportation safety investigators say', 'the national transportation safety board recommended on tuesday that all states adopt a bloodalcohol content bac cutoff of compared to the standard ']","['for a decade has been the blood alcohol benchmark to consider a driver intoxicated', 'national transpo']"
"['sin hwa dee began operations in the as a cottage industry in the former soya sauceproducing enclave of kim chuan road in the paya lebar area of singapore', 'mr and mrs chng kee started out producing soya and oyster sauces bean paste and plum paste in the', 'it was founded by the late mr chng kee a former soya salesman who ran the business with his wife a soya production operator', 'together they sold m']","['sin hwa dee founded by former soya salesman and soya production operator', 'one of sin hwa dees factor']"
"['boston police say theyve apprehended a red sox employee who absconded earlier with the costume of the teams beloved mascot wally the green monster', 'the man has not been charged police said friday', 'he was picked up while heading toward downtown boston with whats described as a furry creature with a permanent grin extremely large head and green and orange hair wearing a number uniform', 'earlier frid']","['it was just a big misunderstanding said zineb curran a boston red sox spokeswoman', 'earlier friday bo']"
"['at least people are dead and at least others were wounded wednesday after three blasts during a shiite procession here authorities in pakistan said', 'khalid ranjha a lahore government official said two of the dead are children and two others are women and seven of those injured are in critical condition', 'the three explosions occurred within a radius of about meters feet', 'all three blasts were the ']","['three blasts strike a shiite procession in span', 'people are wounded with in critical condition offic']"
"['five exotic animals once owned by a zanesville ohio man who let loose dozens of animals last year before committing suicide will be returned to the mans widow friday the ohio department of agriculture said', 'two spotted leopards two macaque monkeys and a brown bear will be returned to marian thompson widow of farmer terry thompson he set off a wide scare in october when he released potentially dan']","['two spotted leopards two macaque monkeys and a brown bear will be returned to widow', 'terry thompson ']"
"['john travolta still in mourning over the death of his teenage son earlier this year issued a rare public statement urging fans to see his latest movie the taking of pelham which he filmed last year', 'john travolta stars as a villainous exinmate in the taking of pelham which opens in theaters friday', 'i promise you wont be disappointed said travolta who plays a deranged exinmate who takes hostages o']","['john travolta releases statement on his web site about the taking of pelham', 'travolta still mourning']"
"['scientists are normally a pretty measured bunch but in recent months theyve been resorting to some unusual language to get our attention one top climatologist recently tweeted if even a small fraction of arctic sea floor carbon is released to the atmosphere were fd when scientists start swearing in public it is time for everyone to start worrying', 'its not just the scientists that are raising the ']","['peoples climate march takes place sunday in cities around the world', 'patel world is rushing towards ']"
"['a pipeline that supplies gas from egypt to israel exploded monday in the northern sinai peninsula near bir eladb an egyptian security official said', 'the explosion appears to be an act of sabotage said gen saleh almasri the head of security in egypts northern sinai peninsula', 'it is an act of sabotage but the army and members of egyptian natural gas company are on the scene trying to understand wha']","['flow of gas to israel and jordan from egypt has been shut off', 'the army has cordoned off the area an']"
